ischemic chest pain|C0002962
angina pectoris|C0002962
ap - angina pectoris|C0002962
stenocardias|C0002962
angina pectoris, nos|C0002962
angina, cardiac|C0002962
stenocardia|C0002962
angina, nos|C0002962
pectoris angina|C0002962
non-steroidal anti-inflammatory agent|C0003211
nonsteroidal anti inflammatory agent|C0003211
nonsteroidal antiinflammatory drug|C0003211
nonsteroidal antiinflammatory drugs|C0003211
nonsteroidal anti-inflammatory drug|C0003211
nonsteroidal antiinflammatory agent|C0003211
nsaid - non-steroidal anti-inflammatory drug|C0003211
agent, nonsteroidal anti-inflammatory|C0003211
agent, non-steroidal anti-inflammatory|C0003211
anti-inflammatory agents, non-steroidal|C0003211
nonsteroidal anti-inflammatory drugs|C0003211
nonsteroidal antiinflammatory agents|C0003211
nonsteroidal anti inflammatory agents|C0003211
non steroidal anti inflammatory agents|C0003211
non steroidal anti inflammatory agent|C0003211
nsaids|C0003211
non-steroidal anti-inflammatory agents|C0003211
non-steroidal anti-inflammatory drug|C0003211
non-steroidal anti-inflammatory agent, nos|C0003211
anti-inflammatory agent, non-steroidal|C0003211
antiinflammatory agents, non steroidal|C0003211
anti inflammatory agents, nonsteroidal|C0003211
anti-inflammatory agent, nonsteroidal|C0003211
nsaid|C0003211
nonsteroidal anti-inflammatory agents|C0003211
nonsteroidal anti-inflammatory agent|C0003211
antiinflammatory agents, nonsteroidal|C0003211
antibiotic|C0003232
antibiotic therapy|C0003232
antimicrobial|C0003232
antibiotic drugs|C0003232
antibiotics|C0003232
miscellaneous antibiotics|C0003232
antibiotic, nos|C0003232
antibiotic agents|C0003232
antibiotic products|C0003232
antibody|C0003241
other ab|C0003241
nos ab|C0003241
little nos ab|C0003241
antibody-containing product|C0003241
antibodies|C0003241
not otherwise specified antibody|C0003241
unidentified antibody|C0003241
unidentified ab|C0003241
antibody, nos|C0003241
little not otherwise specified antibody|C0003241
anticoagulation|C0003281
anticoagulation therapy|C0003281
anticoagulation treatment|C0003281
agent, antiviral|C0003451
antiviral drug|C0003451
agents, antiviral|C0003451
antiviral drugs|C0003451
antiviral agents|C0003451
antiviral|C0003451
antiviral agent, nos|C0003451
substance with antiviral mechanism of action|C0003451
drugs, antiviral|C0003451
drug, antiviral|C0003451
antiviral agent|C0003451
antivirals|C0003451
breathing stopping|C0003578
apneas|C0003578
apnoea|C0003578
apnoea, nos|C0003578
apneic episodes|C0003578
stops breathing|C0003578
apnoeas|C0003578
apnea, nos|C0003578
not breathing|C0003578
apnea|C0003578
breathing stop|C0003578
stopped breathing|C0003578
apnea nos|C0003578
apneic|C0003578
pulmonary arrest|C0003578
breathing stops|C0003578
absence of spontaneous respiration|C0003578
has stopped breathing|C0003578
apnoeic|C0003578
cardiac rhythm, abnormal|C0003811
cardiac arrhythmia, unspecified|C0003811
arrhythmia nos|C0003811
arrhythmia|C0003811
cardiac rhythm disturbances|C0003811
cardiac arrhythmias|C0003811
