"feature_name","count_type","description"
"n_C0021440","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0021440"
"n_C0022107","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0022107"
"n_C0022281","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0022281"
"n_C0022322","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0022322"
"n_C0022575","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0022575"
"n_C0022660","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0022660"
"n_C0023222","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0023222"
"n_C0023380","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0023380"
"n_C0023895","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0023895"
"n_C0024103","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0024103"
"n_C0024115","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0024115"
"n_C0024528","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0024528"
"n_C0025222","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0025222"
"n_C0025323","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0025323"
"n_C0025874","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0025874"
"n_C0026821","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0026821"
"n_C0027497","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0027497"
"n_C0028756","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0028756"
"n_C0028778","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0028778"
"n_C0028961","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0028961"
"n_C0029216","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0029216"
"n_C0030054","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0030054"
"n_C0030193","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0030193"
"n_C0030554","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0030554"
"n_C0030794","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0030794"
"n_C0031350","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0031350"
"n_C0032310","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0032310"
"n_C0032617","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0032617"
"n_C0032781","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0032781"
"n_C0032952","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0032952"
"n_C0033893","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0033893"
"n_C0033975","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0033975"
"n_C0035258","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0035258"
"n_C0035508","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0035508"
"n_C0035648","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0035648"
"n_C0036337","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0036337"
"n_C0036572","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0036572"
"n_C0036743","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0036743"
"n_C0036983","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0036983"
"n_C0037011","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037011"
"n_C0037088","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037088"
"n_C0037195","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037195"
"n_C0037284","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037284"
"n_C0037299","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037299"
"n_C0037317","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037317"
"n_C0037383","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037383"
"n_C0037384","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037384"
"n_C0037672","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0037672"
"n_C0038436","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0038436"
"n_C0038454","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0038454"
"n_C0038586","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0038586"
"n_C0038999","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0038999"
"n_C0039070","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0039070"
"n_C0039591","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0039591"
"n_C0040034","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0040034"
"n_C0040053","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0040053"
"n_C0040822","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0040822"
"n_C0041582","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0041582"
"n_C0041696","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0041696"
"n_C0042025","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0042025"
"n_C0042109","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0042109"
"n_C0042196","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0042196"
"n_C0042210","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0042210"
"n_C0042571","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0042571"
"n_C0043094","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0043094"
"n_C0080194","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0080194"
"n_C0080274","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0080274"
"n_C0085594","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0085594"
"n_C0085602","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0085602"
"n_C0085624","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0085624"
"n_C0085633","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0085633"
"n_C0086132","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0086132"
"n_C0087086","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0087086"
"n_C0149745","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0149745"
"n_C0149931","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0149931"
"n_C0150077","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0150077"
"n_C0150312","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0150312"
"n_C0150499","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0150499"
"n_C0151315","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0151315"
"n_C0151602","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0151602"
"n_C0151907","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0151907"
"n_C0151908","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0151908"
"n_C0152029","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0152029"
"n_C0154587","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0154587"
"n_C0156404","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0156404"
"n_C0178987","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0178987"
"n_C0181758","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0181758"
"n_C0184567","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0184567"
"n_C0199470","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0199470"
"n_C0202823","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0202823"
"n_C0231246","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231246"
"n_C0231298","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231298"
"n_C0231402","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231402"
"n_C0231685","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231685"
"n_C0231780","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231780"
"n_C0231807","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231807"
"n_C0231835","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0231835"
"n_C0232288","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0232288"
"n_C0232462","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0232462"
"n_C0232487","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0232487"
"n_C0233401","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233401"
"n_C0233477","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233477"
"n_C0233565","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233565"
"n_C0233585","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233585"
"n_C0233622","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233622"
"n_C0233715","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233715"
"n_C0233762","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0233762"
"n_C0234518","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0234518"
"n_C0234987","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0234987"
"n_C0235150","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0235150"
"n_C0235267","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0235267"
"n_C0235309","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0235309"
"n_C0236078","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0236078"
"n_C0236720","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0236720"
"n_C0237849","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0237849"
"n_C0238995","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0238995"
"n_C0239266","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0239266"
"n_C0239340","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0239340"
"n_C0239649","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0239649"
"n_C0239779","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0239779"
"n_C0239832","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0239832"
"n_C0241039","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241039"
"n_C0241057","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241057"
"n_C0241164","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241164"
"n_C0241165","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241165"
"n_C0241374","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241374"
"n_C0241416","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241416"
"n_C0241705","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241705"
"n_C0241981","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0241981"
"n_C0242350","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0242350"
"n_C0242429","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0242429"
"n_C0242656","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0242656"
"n_C0242979","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0242979"
"n_C0262384","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0262384"
"n_C0262926","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0262926"
"n_C0266813","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0266813"
"n_C0267071","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0267071"
"n_C0278034","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0278034"
"n_C0278061","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0278061"
"n_C0278134","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0278134"
"n_C0278138","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0278138"
"n_C0278140","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0278140"
"n_C0278146","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0278146"
"n_C0281982","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0281982"
"n_C0332448","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0332448"
"n_C0332573","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0332573"
"n_C0333243","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0333243"
"n_C0338656","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0338656"
"n_C0338831","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0338831"
"n_C0340288","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0340288"
"n_C0344315","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0344315"
"n_C0392162","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0392162"
"n_C0392674","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0392674"
"n_C0401151","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0401151"
"n_C0423641","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0423641"
"n_C0423673","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0423673"
"n_C0423798","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0423798"
"n_C0424000","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424000"
"n_C0424101","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424101"
"n_C0424109","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424109"
"n_C0424235","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424235"
"n_C0424295","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424295"
"n_C0424329","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424329"
"n_C0424561","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424561"
"n_C0424565","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424565"
"n_C0424585","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424585"
"n_C0424755","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0424755"
"n_C0426359","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0426359"
"n_C0426587","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0426587"
"n_C0427008","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0427008"
"n_C0427068","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0427068"
"n_C0436345","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0436345"
"n_C0456814","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0456814"
"n_C0456909","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0456909"
"n_C0457096","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0457096"
"n_C0458254","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0458254"
"n_C0459435","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0459435"
"n_C0474395","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0474395"
"n_C0520893","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0520893"
"n_C0520962","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0520962"
"n_C0521530","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0521530"
"n_C0521654","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0521654"
"n_C0522251","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0522251"
"n_C0542571","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0542571"
"n_C0547030","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0547030"
"n_C0553642","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0553642"
"n_C0558143","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0558143"
"n_C0558171","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0558171"
"n_C0560885","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0560885"
"n_C0564408","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0564408"
"n_C0564567","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0564567"
"n_C0564820","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0564820"
"n_C0574002","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0574002"
"n_C0574067","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0574067"
"n_C0577081","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0577081"
"n_C0581394","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0581394"
"n_C0582067","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0582067"
"n_C0683369","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0683369"
"n_C0683525","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0683525"
"n_C0687152","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0687152"
"n_C0700031","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0700031"
"n_C0700292","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0700292"
"n_C0730525","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0730525"
"n_C0740418","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0740418"
"n_C0742969","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0742969"
"n_C0746815","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0746815"
"n_C0747149","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0747149"
"n_C0748355","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0748355"
"n_C0751185","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0751185"
"n_C0751249","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0751249"
"n_C0751466","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0751466"
"n_C0849963","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0849963"
"n_C0850149","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0850149"
"n_C0857087","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0857087"
"n_C0876889","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0876889"
"n_C0917801","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0917801"
"n_C1262477","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1262477"
"n_C1270972","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1270972"
"n_C1277295","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1277295"
"n_C1282310","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1282310"
"n_C1446409","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1446409"
"n_C1457887","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1457887"
"n_C1561643","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1561643"
"n_C1609165","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1609165"
"n_C1744587","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1744587"
"n_C1868981","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1868981"
"n_C1960870","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1960870"
"n_C1999216","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C1999216"
"n_C2032351","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2032351"
"n_C2032420","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2032420"
"n_C2141243","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2141243"
"n_C2141922","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2141922"
"n_C2167935","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2167935"
"n_C2199592","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2199592"
"n_C2219848","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2219848"
"n_C2220048","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2220048"
"n_C2315245","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2315245"
"n_C2363736","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2363736"
"n_C2364111","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2364111"
"n_C2364135","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2364135"
"n_C2825951","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C2825951"
"n_C3257803","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C3257803"
"n_C3257980","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C3257980"
"n_C3489393","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C3489393"
"n_C3665386","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C3665386"
"n_C3714435","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C3714435"
"n_C3845714","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C3845714"
"n_C4048181","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C4048181"
"n_C4305327","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C4305327"
"n_C4534363","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C4534363"
"n_C4740692","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C4740692"
"n_C5192202","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5192202"
"n_C5230913","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5230913"
"n_C5244048","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5244048"
"n_C5387588","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5387588"
"n_C5392166","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5392166"
"n_C5433281","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5433281"
"n_C5433293","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5433293"
"n_C5433947","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5433947"
"n_C5439898","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5439898"
"n_C5442019","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C5442019"
