"feature_name","count_type","description"
"n_X745","count of new-onset features post-COVID-19 infection per patient","PheCode745"
"n_X755","count of new-onset features post-COVID-19 infection per patient","PheCode755"
"n_X755.1","count of new-onset features post-COVID-19 infection per patient","PheCode755.1"
"n_X761","count of new-onset features post-COVID-19 infection per patient","PheCode761"
"n_X769","count of new-onset features post-COVID-19 infection per patient","PheCode769"
"n_X796","count of new-onset features post-COVID-19 infection per patient","PheCode796"
"n_X798","count of new-onset features post-COVID-19 infection per patient","PheCode798"
"n_X840.3","count of new-onset features post-COVID-19 infection per patient","PheCode840.3"
"n_X916","count of new-onset features post-COVID-19 infection per patient","PheCode916"
"m_X041","number of distinct months the feature was observed","PheCode041"
"m_X1002","number of distinct months the feature was observed","PheCode1002"
"m_X1005","number of distinct months the feature was observed","PheCode1005"
"m_X1009","number of distinct months the feature was observed","PheCode1009"
"m_X1010.2","number of distinct months the feature was observed","PheCode1010.2"
"m_X1010.3","number of distinct months the feature was observed","PheCode1010.3"
"m_X1010.7","number of distinct months the feature was observed","PheCode1010.7"
"m_X1013","number of distinct months the feature was observed","PheCode1013"
"m_X1090","number of distinct months the feature was observed","PheCode1090"
"m_X1100","number of distinct months the feature was observed","PheCode1100"
"m_X112","number of distinct months the feature was observed","PheCode112"
"m_X136","number of distinct months the feature was observed","PheCode136"
"m_X185","number of distinct months the feature was observed","PheCode185"
"m_X244","number of distinct months the feature was observed","PheCode244"
"m_X244.4","number of distinct months the feature was observed","PheCode244.4"
"m_X260.3","number of distinct months the feature was observed","PheCode260.3"
"m_X271.3","number of distinct months the feature was observed","PheCode271.3"
"m_X272","number of distinct months the feature was observed","PheCode272"
"m_X275","number of distinct months the feature was observed","PheCode275"
"m_X275.5","number of distinct months the feature was observed","PheCode275.5"
"m_X276.4","number of distinct months the feature was observed","PheCode276.4"
"m_X285.2","number of distinct months the feature was observed","PheCode285.2"
"m_X290","number of distinct months the feature was observed","PheCode290"
"m_X292.4","number of distinct months the feature was observed","PheCode292.4"
"m_X296","number of distinct months the feature was observed","PheCode296"
"m_X297.1","number of distinct months the feature was observed","PheCode297.1"
"m_X300","number of distinct months the feature was observed","PheCode300"
"m_X300.1","number of distinct months the feature was observed","PheCode300.1"
"m_X300.9","number of distinct months the feature was observed","PheCode300.9"
"m_X304","number of distinct months the feature was observed","PheCode304"
"m_X306","number of distinct months the feature was observed","PheCode306"
"m_X318","number of distinct months the feature was observed","PheCode318"
"m_X327","number of distinct months the feature was observed","PheCode327"
"m_X327.3","number of distinct months the feature was observed","PheCode327.3"
"m_X338.1","number of distinct months the feature was observed","PheCode338.1"
"m_X338.2","number of distinct months the feature was observed","PheCode338.2"
"m_X339","number of distinct months the feature was observed","PheCode339"
"m_X340","number of distinct months the feature was observed","PheCode340"
"m_X348.8","number of distinct months the feature was observed","PheCode348.8"
"m_X350.1","number of distinct months the feature was observed","PheCode350.1"
"m_X367","number of distinct months the feature was observed","PheCode367"
"m_X367.1","number of distinct months the feature was observed","PheCode367.1"
"m_X371.3","number of distinct months the feature was observed","PheCode371.3"
"m_X379.2","number of distinct months the feature was observed","PheCode379.2"
"m_X386.9","number of distinct months the feature was observed","PheCode386.9"
"m_X389.1","number of distinct months the feature was observed","PheCode389.1"
